55*10										
	DKG-PPO		FIFO		SPT		LPT		EDD	
Instance	Makespan	Tardiness	Makespan	Tardiness	Makespan	Tardiness	Makespan	Tardiness	Makespan	Tardiness
0	893.02	731.71	1146.02	6502.94	2875.02	52851.12	4062	137591.96	2209.02	40914.69
1	823.25	23.25	1199.25	5118.66	2467.25	42976.65	4049.25	148811.6	2505.25	44380.19
2	913.61	566.28	889.61	5843.63	2900	49760.88	4869	186994.89	2233.61	32238.14
3	802.12	79.45	1202.12	5856.19	2620.12	39764.69	4010.12	136705.06	1582.12	16340.23
4	882.03	362.85	1268.03	5815.05	2690	41727.99	3852.03	126353.98	1826.03	24649.23
5	886.8	704.29	1119.8	4674.45	2854.8	52011.79	4793.8	176141.33	1920.8	26463.5
6	945.2	1088.65	1244.2	6757.46	2711.2	42629.36	4457.2	159412.27	2346.2	41851
7	859.12	194.07	1151.12	3430.65	2544	36439.57	4187.12	122873.19	1832.12	21101.96
8	933.75	565.32	1100	5604.45	2287	37259.25	5106	178271.34	2218.75	35119.31
9	1003	656.35	1057	4087.5	2624	42048.78	4565	157237.54	2183.59	37410.81
10	893.87	616.96	953.87	4859.22	2740.87	45572.84	4276.87	128588.14	2350.87	32043.01
11	945.33	868.07	1147.33	5568.77	2678.33	38926.4	4185.33	134043.84	2029.33	30292.81
12	845	105.85	1168	4804.04	2447	31946.26	4158.1	140301.45	1860.1	26919.41
13	850.69	345.67	1131.69	4617.45	2537	38306.5	3823	122089.88	1735.69	22744.74
14	830	144.42	1320.62	4266.22	2834	45260.14	4382.62	158822.54	1778.62	22612.61
15	813.76	13.76	1210.76	5487.32	2589.76	38947.25	3769.76	126772.77	2184.76	33806.73
16	795.97	323.3	1290.97	6399.69	2983.97	41294.88	4348	163739.08	2080.97	37918.67
17	879.95	883.19	1276.95	6100.03	2597	40947.2	4025.95	130883.06	2822.95	54423.87
18	831.91	290.25	1117.91	4434.67	2508.91	34152.71	4695.91	159323.88	1931.91	21676.57
19	816.56	124.98	1382.56	6065.02	2189	37209.47	4541.56	132331.03	2112.56	35810.34
20	986.92	557.18	1222.92	3787.51	2593.92	33972	4154.92	141750.24	2110.92	33216.54
21	842.19	125.92	1136.19	3677.71	2380	32529.6	3621.19	116228.23	1900.19	23053.34
22	934.88	646.92	1226.88	5982.87	2552.88	44162.21	4209.88	158208.77	2391.88	44060.75
23	824.02	257.3	1195.02	5045.32	2612	38888.24	3512.02	100367.14	1873.02	27076.21
24	893.81	321.8	1111.81	4580.01	2788	39949.49	4496	157932.67	2030.81	31358.26
25	793.53	336.57	1054.53	5036.17	2783	48714.07	3805.53	130469.05	1785.53	27906.01
26	865.32	322.42	960	3060.63	2369.32	34592.91	4539.32	164203.15	2175.32	25332.52
27	881	711.84	1103.87	4612.05	2929.87	40888.61	3585.87	114972.57	2429.87	35126.5
28	768.85	198.66	1018.85	4394.19	2760.85	35935.76	3987.85	134887.67	1600.85	15123.57
29	919.53	357.89	1204.53	3568.56	2914	42762	3948.53	128955.62	1945.53	21946.15
										
运行时间	7.92 		1.84 		1.86 		1.86 		1.85 	
