15*10										
	DKG-PPO		FIFO		SPT		LPT		EDD	
Instance	Makespan	Tardiness	Makespan	Tardiness	Makespan	Tardiness	Makespan	Tardiness	Makespan	Tardiness
0	386	345.97	565.54	1433.26	1141	5641.42	1745.54	23733.55	934	2642.91
1	563.7	390.32	689.7	1552.79	989.7	6056.4	2627.7	39112.44	998.7	2896.59
2	588	231.49	827.77	1580.54	939.77	5709.3	2891.77	41254.53	1413	3660.89
3	463	374.14	827.72	1601.41	1078	5431.42	1771.72	23616.34	1126	3392.29
4	528	912.59	694	2045.61	1373	7469.71	2673	36994.16	1147	4849.79
5	458.42	173.05	585.42	1211.7	1184	5691.66	2880.42	39793.31	1085.42	3692.42
6	581.98	444.9	616	1104.44	1303	5739.01	2453.98	37254.02	1360.98	3909.05
7	563.25	237.49	830.25	1544.82	1251.25	6498.47	3125.25	41589.58	1005.25	2716.5
8	465.25	202.34	667.25	1036.49	1273.25	6322.85	2281.25	30151.1	1125.25	2491.53
9	656.25	689.12	872.25	1827.28	1159	6960.64	2616.25	39615.39	1755.25	4184.85
10	547.5	312.34	789	1274.33	1377.5	5224.87	3023.5	41348.02	1434.5	3564.63
11	668.23	696.05	684.23	1812.13	1364.23	6995.71	1927.23	25466.72	1551.23	4865.44
12	530.42	466.95	618.42	1317.6	1183	6304.74	2819.42	40140.87	1119.42	4220.66
13	652.09	389.97	744.09	1689.84	1232.09	7406.61	1996	27107.68	1113	2698.82
14	472.41	414.79	698	1215.16	938.41	6017.13	2757.41	34143.48	1118.41	4218.69
15	458.63	185.53	753.63	1297.38	901.63	3772.21	1753.63	22048.23	1303.63	3427.17
16	418.87	194.52	772.87	1570.48	808.87	4520.07	3714.87	54894.88	953.87	2157.93
17	564.78	221.85	645.78	1307.82	1256.78	6615.38	3231.78	46552.72	1334.78	5324.69
18	449.6	181.16	725.6	1577.62	1065	5393.47	2696.6	36223.93	1188.6	3037.2
19	479.7	397.26	759.7	1858.55	1337.7	8058.27	2080.7	27869.04	1141.7	3113.39
20	509.44	67.12	824.44	1185.16	830.44	2551.84	2689	33240.32	1168.44	3188.4
21	523.76	580.35	651.76	1571.67	1363.76	8232.8	3051.76	46642.76	1312.76	5463.53
22	621.32	558.44	722.32	1550.91	788.32	4781.84	1762.32	23212.74	1777.32	3912.89
23	510.77	418.94	709.77	1421.78	1168.77	6175.27	2922.77	42296.35	952.77	2885.68
24	507.47	531.61	891.47	2014.9	1125	6483.05	2755.47	37545.79	976.47	3383.6
25	420.86	521.56	932.86	1385.73	1224	5940.33	2114.86	30232.8	940.86	2671.05
26	505	92.06	705.25	1509.41	1222.25	5502.94	2284.25	30622.5	1305.25	2944.52
27	585.24	720.85	811.24	1605.35	1035.24	3889.24	1778.24	21502.02	1300.24	4546.74
28	380.13	535.92	575.13	1439.01	990.13	4287.05	2948.13	41568.04	857.13	2529.69
29	511.01	260.75	851.01	1760.45	1132	5614.81	2250.01	34667.16	1317.01	3523.13

运行时间	2.57 		0.74 		0.64 		0.64 		0.65 	
