60*10										
	DKG-PPO		FIFO		SPT		LPT		EDD	
Instance	Makespan	Tardiness	Makespan	Tardiness	Makespan	Tardiness	Makespan	Tardiness	Makespan	Tardiness
0	925.37	304.01	1054.37	6113.93	2984.37	54702.2	4149.37	135175.07	2169.37	43419.59
1	959.38	594.77	1379	6441.18	2926	44309.19	4092	152367.85	2527.38	44398.71
2	936.22	286.32	1348.22	6759.79	2572	41033.68	4087.22	140703.12	2275.22	38126.37
3	961	486.16	1222.57	5191.7	3123.57	48895.41	4014.57	140396.75	2369.57	35778.37
4	853.08	39.63	1158.08	5381.5	2724	49753.03	4386.08	155330.88	1867.08	28449.53
5	858.11	25.7	1165.11	5265.26	3011	54992.27	4138.11	125183.74	2050.11	29732.46
6	957.12	1055.06	1025	6582.27	2995	53148.27	4271	152888.68	2995.12	82866.52
7	911.69	389.87	1433.69	6259.4	2707	42556.94	4962.69	178933.38	1975.69	27361.86
8	918.37	163.81	1166.37	5503.57	2842.37	49137.45	4151.37	142445.33	2443.37	46532.81
9	894.97	87.27	1331.97	5611.46	3014.97	51340.82	4202.97	141914.85	2723.97	47751
10	937.47	812.67	1250.47	5583.39	2884	54118.12	4602.47	170438.4	2821.47	53597.26
11	902.28	164.89	1116.28	6637.49	2693.28	40492.09	4260	159156.61	2194.28	31407.85
12	910.8	115.05	1286	5442.24	2999	44112.16	4597.8	171817.86	2035.8	33436.33
13	911.59	323.5	1340.59	4919.36	2798	46956.69	4671.59	166613.4	2159.59	38494.26
14	878	77.34	1101.66	7985.11	3060	56901.43	3900.66	137861.27	2219.66	36727.75
15	868.83	110.83	1246	4889.32	2569.83	37246.47	5071.83	194784.7	2079.83	24997.94
16	944.46	257.15	1256.46	5418.62	3081	48752.88	4578.46	176114.28	2311.46	43242.98
17	953.67	476.33	1334.67	4940.77	2685.67	43410.91	4257.67	149138.8	2866.67	64403.28
18	968.28	275.82	1210.28	6257.44	2845	44467.59	3985.28	136672.54	2320.28	45443.97
19	899	302.55	1164	6245.59	2955	44561.85	3697	120188.41	2395.37	51852.13
20	824.56	85.64	1084	5647.66	2911.56	42391.89	3739.56	130185.46	2135.56	33770.3
21	938.69	118.22	1284.69	4261.39	2791	37290.09	2975.69	83626.23	2154.69	31854.45
22	985.91	628.22	1218.91	4926.98	2749.91	42798.6	4331.91	141246.83	2575.91	55475.9
23	858.18	21.74	1220.18	5766.4	3084	48276.15	4088.18	135530.62	1762.18	21924.03
24	928.74	155.51	1400.74	5515.69	2931	53472.37	4324.74	151363.99	2058.74	31610.86
25	868.48	208.11	1236.48	4035.55	2889	46320.24	4223.48	135146.25	2078.48	33392.31
26	939.8	230.98	1135.8	4432.22	3080.8	52821.69	4307.8	153004.53	2833.8	58067.29
27	900.67	49.12	1220.67	5353.78	2659.67	47729.45	4509	169727.48	2814.67	57231.07
28	837.16	111.83	1101.16	5872.3	2628	35251.79	3649.16	125854.4	1868.16	21790.9
29	975.77	248.25	1178.77	5958.29	2827	51175.54	3838.77	114770.33	2240.77	34673.55
										
运行时间	7.370 	0.300 	0.214 	0.245 	0.216 

