30*10										
	DKG-PPO		FIFO		SPT		LPT		EDD	
Instance	Makespan	Tardiness	Makespan	Tardiness	Makespan	Tardiness	Makespan	Tardiness	Makespan	Tardiness
0	693.05	904.9	753.05	3119.27	1653.05	17806.7	2676.05	60892.42	1286.05	7428.82
1	699.67	279.73	926.67	3241.61	2132.67	20642.8	3248	74375.96	1605	8368.23
2	788.06	372.57	826.06	3156.04	1925.06	17134.31	2904.06	65432.9	1408.06	6090.84
3	756.5	598.64	910.5	2591.45	1463.5	12581.58	3790	81048.34	1598.5	8437.27
4	679.14	135.64	705	2797.43	1975.14	15562.03	3905	98866.86	1374.14	6662.39
5	630.78	314.45	868	3537.85	2153	20564.59	4003.78	96025.6	1345.78	9091.29
6	723.07	357.83	963.07	2537.33	1760.07	16966.34	3505.07	84205.75	1899.07	11251.96
7	620.07	145.51	733.07	2218.37	1591	13956.46	3156.07	68057.75	1467	7809.16
8	683.69	312.92	972.69	2863.96	1663.69	14883.56	2901.69	64373.3	2044.69	9475.17
9	672	147.57	990.79	2189.37	1409	12534.97	3211	71121.64	1907.79	8447.83
10	705.2	444.76	754.2	3165.85	1949.2	22913.52	3277.2	79195.39	2108.2	13028.75
11	651.75	250.32	968.75	3142.09	1928	18518.64	4092.75	101392.11	1523.75	7276.31
12	657.5	992.89	882.5	3170.61	1658	15988.52	3419	78002.1	1584	11797.11
13	696.84	476.46	813.84	1951.96	1765	14267.05	2372	44562.01	1804.84	10904.35
14	597.25	328.34	822.25	3664.9	1987.25	24015.69	4096.25	106178.24	1563.25	12535.77
15	709.52	204.68	1022.52	2539	1835	13293.93	3049	61326.81	1323	3852.77
16	689.97	262.2	775.97	2023.12	2013.97	17976.18	4162	110970.6	1585.97	11901.94
17	726.29	376.13	661.29	2420.31	1462	17064.58	2498.29	51860.27	1813.29	5528.8
18	596.15	52.67	814	3051.16	1713.15	15980.8	4012.15	97774.53	1534.15	8357.29
19	635.9	438.72	866.9	2942.53	1742	19126.57	3761	83578.29	1374.9	7517.31
20	794	765.63	862.95	3241.3	1842	22079.19	3291.95	73922.31	1569.95	7147.76
21	708.97	184.63	815.97	2387.24	1388	12393.54	3881	98050.09	1395.97	5548.45
22	653.78	379.14	902.78	2215	1896	15479.54	3078	75383.18	1844.78	6843.88
23	674.38	404.47	831.38	2379.84	1580.38	16572.6	2589	53831.26	1392.38	9757.12
24	728.99	359	837.99	2355.12	1654.99	15371.34	3822.99	94914.9	1811.99	7777.46
25	626.15	402.73	863.15	2478.34	1563.15	14455.03	2746.15	58714.14	1503.15	11158.98
26	803.62	571.98	839.62	2308.5	1824	14971.89	3129.62	73102.93	1585	8049.25
27	795.43	582.99	817.43	2525.83	1585	13171.13	2492.43	53073.94	1858.43	6808.59
28	632.04	175.32	723.04	2707.98	1558.04	16599.93	3484.04	82256.86	1472.04	8474.58
29	708.27	420.95	906.27	3496.19	1590	15117.56	3730	95306.91	1955.27	9617
										
运行时间	3.518 	0.081 	0.069 	0.074 	0.068 
