40*10										
	DKG-PPO		FIFO		SPT		LPT		EDD	
Instance	Makespan	Tardiness	Makespan	Tardiness	Makespan	Tardiness	Makespan	Tardiness	Makespan	Tardiness
0	663.46	451.13	843.46	4515.79	2175.46	30786.96	3157	86118.06	1828.46	28018.19
1	715.99	272.43	1101.99	4488.65	2353	30257.59	3782.99	116748.8	1893.99	18171.24
2	839.55	638.82	901	3377.87	1878	23701.06	3355.55	87417.95	2080.55	15604.66
3	798.12	387.31	840.12	2490.46	1835	20137.7	3557.12	93395.91	1729.12	15112.29
4	694.85	538.23	896.85	3770.36	2487.85	28619	3829.85	107083.61	1579.85	18116.67
5	797.09	1250.82	996	4079.89	2234	25338.87	3618	97939.42	1858.09	22821.86
6	813.23	674.73	1088.23	2885.25	2473	30737.91	3095.23	75642.17	1987.23	22330.09
7	901.22	481.8	1080.22	3914.87	2431.22	28604.77	3970	108065.54	2156.22	21711.4
8	776.62	616.34	963.62	3615.67	2024.62	25021.19	2830.62	69210.14	1853.62	19596.31
9	927.2	615.61	1042	3170	2534	30647.79	4749	138611.54	1983.2	20646.8
10	701.28	158.61	867.28	3233.02	2193	29542.66	3262.28	81551.17	1833.28	15451.29
11	707	127.23	954.35	3129.97	2471	28303.79	3321	72780.09	1784	14768.66
12	705.84	431.17	919.84	2489.57	2120.84	19683.45	3375.84	93926.58	1474.84	15544.97
13	773.5	241.89	944.5	3045.25	1829	19018.29	3679.5	100358.28	1685.5	12654.19
14	749	312.41	855.2	3758.83	2222	29121.23	3055.2	77079.63	1685.2	14694.96
15	954.23	325.85	863	3219.08	1834	19543.05	3397.23	82296.97	2173.23	15130.44
16	678.13	311.45	1115.13	4153.76	2092.13	23310.46	3286	97603.37	1902.13	17475.1
17	763.31	711.61	996	3535.47	2053.31	26850.75	3243	81487.47	1943.31	15752.98
18	666.25	60.19	973.25	2760.39	1808	17508.21	3183.25	75632.88	1701.25	13332.83
19	743.01	596.3	1030.01	4376.21	1796.01	19051.25	3896.01	103463.3	1957.01	20898.59
20	722.68	298.29	974.68	3211.62	2140	26048.81	2633.68	61832.47	1951.68	14389.42
21	849.17	284.71	891	2933.63	2286.17	22406.96	2810.17	70725.61	2076.17	16741.1
22	954.39	1027.45	1167.39	5193.18	2321.39	31430.05	3916	117274.45	1870.39	17352.6
23	718.06	451.86	1120.06	3505.18	2039.06	21232.6	3443.06	93283.66	1207.06	10201.39
24	882.17	1202.05	905.17	4025.18	2294.17	28705.83	4231.17	136402.39	2076.17	21236.27
25	672.69	194.77	816.69	2814.02	2205.69	24826.47	3690	103539.16	1508.69	12114.54
26	754	443.1	1028.01	3659.33	2156	22158.96	3266.01	84912.65	1986.01	20133.48
27	788.88	874.05	867.88	3085.57	2107.88	17784.74	3599.88	96560.35	1898.88	16883.82
28	620.04	108.25	1051.04	3693.98	2161	20703.8	2333.04	46558.31	1630.04	10466.28
29	833.32	403.74	1075.32	4063.57	2099.32	21384.99	3642.32	93936.87	1625.32	9434.99
										
运行时间	4.681 	0.139 	0.104 	0.114 	0.110 

