DRLU		
Makespan	Tardiness	time
1791	403.4	0.682
1636	370.5333333	
1723	419.3111111	
1656	371.7333333	
1728	390.0444444	
1666	383.7333333	
1568	353.6222222	
1640	349.1777778	
1647	405.1777778	
1630	385.1333333	
1735	355.7333333	
1626	374.9111111	
1684	361.3555556	
1679	417.2444444	
1701	383.6666667	
1798	418.0222222	
1692	380.2888889	
1742	407.9333333	
1649	367.8444444	
1701	374.6666667	

DRLP		
Makespan	Tardiness	time
1739	596.4888889	0.809
1735	620.2	
1731	597.9777778	
1828	653.8888889	
1765	618.0222222	
1775	617.5111111	
1791	644	
1827	644.5333333	
1784	620.5777778	
1767	621.8666667	
1720	599.8222222	
1750	612.4888889	
1846	634.1333333	
1703	587.8666667	
1760	611.1555556	
1812	624.4444444	
1812	623.3555556	
1695	569.1555556	
1761	610.5111111	
1773	630.6	

THDQN		
Makespan	Tardiness	time
1945	543.5777778	0.772
1963	541.0222222	
2079	577.7111111	
1880	533.2444444	
1977	538.9555556	
1956	562.4666667	
1983	631.5777778	
1953	535.4444444	
2118	599.0888889	
1964	514.2222222	
2138	614.3333333	
1967	550.8	
2150	584.7777778	
2006	569.6444444	
1937	555.4222222	
2045	603.3333333	
2145	515.3777778	
1989	609.2888889	
2016	532.6888889	
1928	568.5777778	

DMDDQN		
Makespan	Tardiness	time
1885	1003.177778	0.789
2093	1142.244444	
2165	1147.266667	
1779	895.3555556	
1964	1055.888889	
1908	987.3777778	
2001	1130.355556	
2140	1169.333333	
1898	995.3111111	
2217	1240.111111	
2155	1127.577778	
2208	1178.377778	
2066	1085.4	
1877	984.3555556	
2207	1209.977778	
2292	1284.222222	
2154	1220.311111	
1830	956.5555556	
1954	1017.377778	
2100	1146.066667	

DDQN		
Makespan	Tardiness	time
2087	892	0.820
2081	943.0222222	
2155	988.0444444	
2142	1034.066667	
2087	921.4888889	
2182	1044.6	
2276	1168	
2088	943.4888889	
2213	1070.022222	
2143	1028.111111	
2090	917.7333333	
2141	963.4	
2126	942.1111111	
2058	917.0444444	
2257	1094.644444	
2203	1063.333333	
2148	1021.377778	
2254	1125.777778	
2210	1099.155556	
2034	970.0222222	

NSGA-II
Makespan	Tardiness 	times
1306	18273	900
1319	17083	
1334	16668	
1369	16549	
1251	16053	900
1284	15447	
1285	15256	
1295	14785	
1378	22837	900
1381	21166	
1384	20251	
1392	19909	
1402	18977	
1421	18583	
1427	18417	
1430	17383	
1505	17352	
1311	18877	900
1328	18360	
1330	17888	
1343	17422	
1408	17377	
1425	17351	
1227	17643	900
1234	17351	
1240	17346	
1260	17152	
1268	16949	
1278	16397	
1293	15883	
1297	15725	
1298	15668	
1326	19643	900
1329	19591	
1342	19125	
1352	18406	
1353	18215	
1357	17504	
1361	17229	
1399	17122	
1407	16826	
1294	20648	900
1297	19608	
1300	18192	
1321	17932	
1329	17620	
1332	17587	
1348	17300	
1264	17769	900
1269	17482	
1270	17202	
1279	17116	
1290	16636	
1293	16569	
1295	15880	
1296	15593	
1315	15574	
1317	21080	900
1319	16270	
1354	15755	
1364	15618	
1369	15431	
1387	15361	
1393	15332	
1416	14604	
1320	20932	900
1323	20292	
1327	17353	
1336	16574	
1340	15886	
1347	21919	900
1348	20238	
1350	19926	
1359	19069	
1371	18715	
1373	18614	
1376	18563	
1383	18381	
1385	18163	
1399	17965	
1400	17925	
1419	17895	
1429	17685	
1330	22648	900
1334	19893	
1340	19458	
1353	19238	
1369	19177	
1379	18915	
1382	18662	
1399	18564	
1407	18270	
1440	17766	
1302	16699	900
1334	16618	
1355	15979	
1304	19420	900
1308	18855	
1311	18281	
1312	16910	
1343	16538	
1345	16270	
1349	16151	
1352	14906	
1441	14773	
1252	17520	900
1264	15870	
1273	15696	
1275	15656	
1287	15568	
1293	15217	
1304	15191	
1316	15174	
1366	15134	
1367	21565	900
1368	21422	
1377	20678	
1380	19347	
1405	19306	
1431	19128	
1449	18736	
1318	19148	900
1320	18336	
1331	17863	
1334	17313	
1341	16892	
1363	16478	
1387	16443	
1268	17178	900
1277	15250	
1282	14737	
1281	19149	900
1289	16963	
1297	16496	
1301	16405	
1331	16145	
1339	16108	
1356	15092	
1331	19682	900
1340	19578	
1343	18963	
1375	18396	
1379	18297	
1398	18233	
1439	18108	

DKG-PPO		
Makespan	Tardiness	time
1178	852	6.178
1178	852	
1178	852	
1178	852	
1178	852	
1178	852	
1178	852	
1178	852	
1178	852	
1178	852	
1178	852	
1178	852	
1178	852	
1178	852	
1178	852	
1178	852	
1178	852	
1178	852	
1178	852	
1178	852	

