DRLU		
Makespan	Tardiness	time
904	56.05714286	0.643
901	67.82857143	
930	60.08571429	
953	46.91428571	
882	73.71428571	
853	54.6	
904	51.88571429	
919	84.08571429	
888	56.74285714	
880	56.6	
911	78.8	
874	65.85714286	
910	55.6	
844	54.28571429	
937	44.65714286	
905	65.8	
870	70	
851	50.82857143	
884	53.85714286	
884	47.2	

DRLP		
Makespan	Tardiness	time
860	182.3714286	0.771
882	196.1714286	
943	221.8285714	
904	206.0285714	
920	191.2285714	
891	203.1428571	
905	216.0285714	
893	212	
914	201.4285714	
870	186.5428571	
889	200.5714286	
956	198.4	
890	192.0285714	
931	208.4857143	
908	199.7142857	
884	193.9428571	
930	208.1714286	
932	213	
893	194.8571429	
952	196.0571429	

THDQN		
Makespan	Tardiness	time
1455	316.3428571	0.817
1559	361.9142857	
1500	325.7714286	
1530	351.3714286	
1596	359.6285714	
1481	365.4285714	
1428	349.1714286	
1527	354.7142857	
1495	327.3714286	
1566	347.1142857	
1488	314.7428571	
1608	349.4	
1558	327.6	
1558	340.0285714	
1567	354.9428571	
1433	352.5142857	
1398	307.7428571	
1596	305.0857143	
1514	354.9428571	
1433	363.8285714	

DMDDQN		
Makespan	Tardiness	time
1314	536.1714286	0.778
1323	516.5142857	
1202	450.6	
1327	579.7714286	
1243	504.3142857	
1204	478.4285714	
1361	599.1428571	
1530	612.3428571	
1283	533.8285714	
1427	613.8571429	
1412	593.2571429	
1285	526.2	
1495	663.6571429	
1209	468.4	
1256	516.9714286	
1251	456.9428571	
1404	561.4	
1172	462.4571429	
1246	502.8285714	
1170	431.6	

DDQN		
Makespan	Tardiness	time
1111	277.2285714	0.816
1081	280.0571429	
1103	272.0571429	
1036	261.1714286	
1142	311.2285714	
1102	264.8285714	
1118	267.2285714	
1137	297.8857143	
1175	319.6571429	
1206	364.7142857	
1074	291.8	
1121	296.1142857	
1166	316.7714286	
1099	269.5142857	
1051	233.6571429	
1182	323.6571429	
1132	339.7714286	
1136	322.9428571	
1034	261.4571429	
1083	299.0571429	

NSGA-II
Makespan	Tardiness 	times
762	3918	506.2241142
765	3753	
767	3672	
769	2830	
778	2615	
788	2561	
817	2470	
823	2360	
795	3372	503.865761
802	3101	
810	2877	
813	2828	
814	2400	
842	2262	
855	2165	
698	2425	513.6499219
703	2116	
714	1734	
722	1631	
738	1521	
739	1289	
694	2379	478.0042346
698	1869	
708	1610	
710	1493	
711	1483	
712	1208	
724	1080	
771	927	
739	2306	468.124543
754	2155	
764	2099	
778	1735	
794	1681	
856	1553	
761	2087	461.7425518
776	2020	
792	1713	
799	1708	
802	1654	
824	1465	
880	1387	
745	2153	470.8759706
758	2005	
770	1880	
774	1804	
783	1799	
788	1776	
792	1725	
826	1599	
835	1542	
762	2961	471.3033402
773	2480	
779	2199	
823	2093	
835	2080	
890	1943	
925	1860	
752	2029	465.4023955
759	1550	
767	1377	
860	1260	
743	3654	455.4944909
745	3427	
746	3285	
747	3117	
749	2618	
765	2358	
771	1968	
801	1896	
806	1875	
809	1752	
760	4169	470.565222
765	3297	
770	2798	
778	2552	
820	2509	
788	3260	462.9220304
797	2993	
831	2983	
834	2959	
842	2766	
859	2691	
905	2647	
777	3674	466.7674472
786	2908	
789	2742	
817	2621	
861	2382	
775	3888	448.5085666
791	3194	
797	3128	
800	2958	
805	2867	
808	2561	
858	2468	
734	2813	451.6330569
752	2399	
758	2393	
760	2359	
763	2225	
764	2064	
771	1748	
779	1558	
749	3365	471.8689313
750	2794	
757	2695	
762	2291	
786	2169	
831	2676	454.7042723
859	2631	
756	3870	460.6943009
761	3549	
762	3461	
763	2865	
773	2809	
778	2298	
780	1873	
794	3601	462.50893
800	3421	
802	3073	
814	2933	
828	2878	
840	2753	
844	2724	
869	2398	
753	3025	457.5222409
757	2370	
760	2340	
766	2315	
771	2152	
776	2139	
787	1920	


DKG-PPO		
Makespan	Tardiness	time
691	65	4.869
691	65	
691	65	
691	65	
691	65	
691	65	
691	65	
691	65	
691	65	
691	65	
691	65	
691	65	
691	65	
691	65	
691	65	
691	65	
691	65	
691	65	
691	65	
691	65	
