DRLU		
Makespan	Tardiness	time
796	4.771428571	0.743
807	1.714285714	
816	3.114285714	
751	2.285714286	
893	3.742857143	
809	13.51428571	
772	1.628571429	
795	4.714285714	
806	8.142857143	
814	7.085714286	
814	1.8	
833	4.028571429	
778	3	
757	8.542857143	
822	8.685714286	
800	7	
808	6.171428571	
741	7.142857143	
770	7.171428571	
803	7.514285714	

DRLP		
Makespan	Tardiness	time
813	123.5714286	0.832
781	118.5428571	
819	119.3142857	
824	117.1714286	
773	119.9714286	
764	111.7142857	
761	121.9428571	
768	123.6857143	
792	114.5714286	
764	115.1142857	
781	107.3714286	
786	113.7142857	
796	127.7428571	
846	112.7142857	
784	109.8571429	
758	111.8	
763	111.3142857	
887	133.4571429	
782	108.7428571	
818	115.4571429	

THDQN		
Makespan	Tardiness	time
1578	313.4285714	0.840
1512	285.8	
1508	271.1142857	
1379	298	
1497	293.8571429	
1533	333.7142857	
1490	300.7142857	
1467	319.5142857	
1596	297.6285714	
1530	324.6	
1443	295	
1568	309.4571429	
1420	286.4285714	
1471	300.6285714	
1533	296.6	
1461	321.7428571	
1501	294.2571429	
1463	271.3142857	
1498	324.9428571	
1528	299.7428571	

DMDDQN		
Makespan	Tardiness	time
1103	353.7142857	0.827
1060	343.1714286	
1296	487.9142857	
1079	342.2	
1125	387.3714286	
1062	317.5714286	
1163	406.7428571	
1098	361.5142857	
1060	327.4857143	
1180	361.8571429	
1261	480.5714286	
1007	301.4571429	
1276	500.8	
1104	364.8285714	
1112	357.1428571	
1181	444.9428571	
1304	459.5428571	
1118	336.6857143	
1031	291.8	
1162	451.8857143	

DDQN		
Makespan	Tardiness	time
943	178	0.788
1000	204.1714286	
1033	211.8571429	
978	145	
987	241.4857143	
979	203.5142857	
1132	257.7714286	
1101	270.3714286	
1003	216.9142857	
1054	230.6857143	
946	140.2857143	
985	153.7714286	
957	159.0857143	
1010	191.1142857	
988	200.4285714	
996	194.5142857	
1005	187.5142857	
984	211.8	
970	189.8571429	
943	128.3142857	

NSGA-II
Makespan	Tardiness 	times
719	684	380.3017757
720	520	
734	518	
736	488	
772	385	
685	1775	369.6366267
687	865	
713	747	
743	642	
700	1135	383.9869869
709	1101	
712	1038	
716	964	
727	932	
747	930	
784	896	
685	1511	385.6114912
686	622	
693	345	
730	423	382.612519
745	364	
746	314	
687	1020	388.7102616
703	983	
709	793	
733	717	
733	596	
684	1078	414.327522
686	853	
689	626	
691	603	
715	483	
701	543	396.6788645
710	442	
787	415	
706	866	383.9546163
707	733	
721	720	
729	716	
656	615	373.2330093
658	514	
659	418	
668	401	
677	285	
702	192	
670	428	377.5146136
677	358	
701	293	
692	1929	371.0754898
695	1850	
702	1838	
703	1661	
704	1515	
707	1279	
712	1265	
726	1186	
731	1074	
735	913	
703	1518	393.8041453
717	1387	
719	1339	
723	1223	
735	1096	
742	958	
746	926	
755	879	
702	812	382.9558332
703	771	
721	709	
743	661	
659	1323	373.871841
666	994	
671	805	
679	782	
693	773	
722	721	
703	1211	374.5010643
708	866	
712	755	
728	668	
734	578	
740	546	
682	532	372.4243476
687	520	
689	445	
691	391	
714	284	
760	271	
719	1040	404.9606001
738	1004	
745	897	
749	867	
771	823	
783	800	
844	791	
687	1350	392.7646401
689	1179	
691	1068	
692	947	
694	823	
698	643	
699	593	
708	592	
718	555	
726	376	
748	262	
737	569	388.1729398

DKG-PPO		
Makespan	Tardiness	time
567	22	4.963
567	22	
567	22	
567	22	
567	22	
567	22	
567	22	
567	22	
567	22	
567	22	
567	22	
567	22	
567	22	
567	22	
567	22	
567	22	
567	22	
567	22	
567	22	
567	22	

