DRLU		
Makespan	Tardiness	time
1227	218.1142857	0.776
1325	254.8857143	
1264	225.5714286	
1212	241.1428571	
1239	223.8857143	
1261	236.8285714	
1256	220.0571429	
1322	237	
1320	241.2571429	
1204	219.1142857	
1266	242.2571429	
1245	251.5714286	
1372	263.2571429	
1245	230.2285714	
1203	232.7714286	
1278	240.3142857	
1281	240.5142857	
1257	240.3714286	
1276	236.2285714	
1293	220.4	

DRLP		
Makespan	Tardiness	time
1255	393.9428571	0.807
1284	421.2857143	
1229	377.3714286	
1220	379.1142857	
1211	372.4571429	
1247	373.4571429	
1245	366.5428571	
1262	400.8285714	
1213	388.2285714	
1241	378.2857143	
1264	401.2	
1229	358.8285714	
1245	388.7142857	
1268	402.2285714	
1263	392.8571429	
1222	382.8857143	
1229	379.6285714	
1218	374.2571429	
1222	376.7714286	
1215	383.8	

THDQN		
Makespan	Tardiness	time
1792	510.3142857	0.76
1571	429.9428571	
1581	429.5142857	
1624	441.6285714	
1732	429.9714286	
1660	417.0285714	
1599	409.8	
1803	427.6857143	
1682	468.0571429	
1651	459.2285714	
1688	460.9142857	
1777	453.0571429	
1766	438.2857143	
1618	424.4285714	
1713	474.8571429	
1744	511.9142857	
1794	475.3714286	
1679	487	
1690	425.3714286	
1649	415.2	

DMDDQN		
Makespan	Tardiness	time
1606	770.4571429	0.846
1814	923.0285714	
1636	879.7714286	
1570	761.5428571	
1650	818.9714286	
1494	704.6571429	
1569	778.6571429	
1762	870.7428571	
1561	783.8	
1466	672.5428571	
1656	844.2285714	
1545	765.7142857	
1559	762.1428571	
1769	898.0571429	
1782	878.4285714	
1585	763.7714286	
1743	893.4	
1561	778.0857143	
1590	757.2857143	
1723	903.3714286	

DDQN		
Makespan	Tardiness	time
1395	469.1428571	0.794
1358	420.3142857	
1409	446.4857143	
1402	450.0285714	
1465	522.6571429	
1461	527.6571429	
1441	488.9142857	
1515	540.5142857	
1502	540.9714286	
1436	549.9714286	
1424	488.4857143	
1356	420.4	
1386	450.0285714	
1361	449.0857143	
1425	483.5142857	
1449	439.0857143	
1364	447.6285714	
1403	474.4	
1405	461	
1433	533.1714286	

NSGA-II
Makespan	Tardiness	 times
1008	10994	623.6649985
1010	10037	
1012	9552	
1017	9259	
1019	9211	
1022	8962	
1033	8758	
1066	8740	
996	8589	641.1714921
1011	8481	
1022	8410	
1026	8248	
1028	8082	
1046	8054	
1012	9768	635.34442
1016	9537	
1017	9016	
1026	7626	
1041	7502	
1088	7371	
962	9865	638.6440935
963	9414	
965	8436	
975	8248	
986	8101	
991	7752	
997	7208	
1006	7149	
1024	7140	
1045	7053	
1061	6875	
1011	9125	614.4276614
1035	9081	
1060	9048	
1065	11189	651.7508767
1074	9707	
1088	9526	
1110	9282	
1144	8974	
930	7843	642.831573
937	6864	
940	6580	
953	6001	
986	5617	
1008	5591	
1009	10519	622.0020175
1012	9483	
1021	9286	
1031	8734	
1052	8699	
1054	8654	
1058	8589	
1067	8466	
1078	8344	
1108	8180	
1122	7504	
988	9673	613.4262738
991	8946	
1005	8679	
1006	8598	
1011	7919	
1027	7784	
1039	7520	
1051	7431	
1066	10898	610.0788012
1076	9958	
1080	9612	
1099	9268	
1105	9044	
1127	9025	
1049	11648	611.7696562
1052	9557	
1065	9181	
1076	9090	
1080	8682	
1096	8623	
1098	8562	
988	10164	605.3997407
1012	10061	
1015	9785	
1017	9043	
1024	8492	
1051	8468	
1057	8155	
1062	7906	
1071	7711	
1124	12983	606.2886887
1149	12122	
1150	11991	
1159	11348	
1181	11030	
1204	10599	
984	9185	606.9952617
993	9064	
994	8945	
998	8320	
1023	7951	
1042	7811	
1048	7633	
964	8595	603.1510375
972	8430	
973	8107	
989	7593	
992	7248	
1005	6909	
1083	6738	
1010	8841	605.9304633
1015	7800	
1046	7232	
1014	8161	649.364244
1033	8141	
1076	8104	
1080	8102	
942	8598	638.6110442
949	8228	
964	7533	
973	7109	
986	7080	
1008	7018	
1014	6836	
1019	6413	
1048	10513	633.3671672
1062	10257	
1063	10145	
1069	9556	
1073	9237	
1077	8727	
1078	8471	
1084	8419	
1103	8193	
1166	8176	
991	10503	672.7614975
996	10119	
1006	9946	
1009	9883	
1016	9101	
1027	8730	
1055	8292	
1110	7980	

DKG-PPO		
Makespan	Tardiness	time
870	444	4.726
870	444	
870	444	
870	444	
870	444	
870	444	
870	444	
870	444	
870	444	
870	444	
870	444	
870	444	
870	444	
870	444	
870	444	
870	444	
870	444	
870	444	
870	444	
870	444	

