DRLU		
Makespan	Tardiness	time
1292	159.3777778	0.727
1322	143.3555556	
1340	146.1111111	
1320	143.5111111	
1351	127.8222222	
1303	116.3333333	
1368	164.4222222	
1271	128.1777778	
1325	152.1555556	
1321	120.8888889	
1385	127.8888889	
1228	137.3333333	
1381	143.5555556	
1339	142.3333333	
1317	149.9777778	
1304	131.0666667	
1289	114.0444444	
1319	135.7111111	
1272	147.4888889	
1303	148.0222222	

DRLP		
Makespan	Tardiness	time
1345	389.4	0.835
1337	356.2444444	
1337	372.1111111	
1336	363.3111111	
1284	364.0444444	
1326	353.3777778	
1369	362.4222222	
1419	352.5333333	
1347	360.6888889	
1428	407.1333333	
1343	369.6222222	
1304	378.1111111	
1353	381.8	
1389	366.3777778	
1310	356.8888889	
1365	374.8444444	
1266	356.2	
1332	373.1333333	
1408	375.0666667	
1309	373.4	

THDQN		
Makespan	Tardiness	time
1802	428.8888889	0.737
1756	437.8888889	
1700	406.3333333	
1727	415.2222222	
1690	394.6222222	
1719	375.3333333	
1838	427.6888889	
1712	391.2888889	
1698	425.0444444	
1687	415.9555556	
1775	339.7555556	
1697	433.6222222	
1791	384.6	
1689	383.2222222	
1730	439.7555556	
1692	398.2444444	
1773	352.2222222	
1630	369.2888889	
1595	376.2	
1730	450.1555556	

DMDDQN		
Makespan	Tardiness	time
1569	720.8222222	0.849
1426	594.2	
1428	626.5555556	
1504	619.4222222	
1578	698.6444444	
1354	546.2666667	
1490	667.4444444	
1486	676.1111111	
1475	612.8444444	
1576	714.2	
1459	574.0666667	
1474	634.8222222	
1489	635.6444444	
1505	638.5111111	
1560	696.0222222	
1710	814.8666667	
1539	671.7333333	
1397	575.5111111	
1716	791.3555556	
1396	611.4	

DDQN		
Makespan	Tardiness	time
1807	796.4	0.839
1662	625.3111111	
1675	714.1333333	
1766	785.3111111	
1768	754.7333333	
1744	702.6888889	
1802	789.1333333	
1748	756.6222222	
1583	538.6222222	
1670	635.6444444	
1754	717.6	
1692	729.4	
1770	789.9333333	
1672	675.4888889	
1732	738.2666667	
1685	700.7777778	
1686	747.5333333	
1691	720.9111111	
1760	703.4888889	
1723	724.6888889	

NSGA-II
Makespan	Tardiness 	times
1104	7787	749.7885184
1110	7543	
1127	5969	
1129	4473	752.4676549
1155	5385	900
1176	5318	
1153	7860	766.8313689
1156	7826	
1168	7321	
1190	7070	
1183	4289	710.1121399
1190	4090	
1140	5899	850.1837411
1144	5374	
1164	5364	
1172	5075	
1189	5028	
1141	5837	744.9542136
1144	5658	
1124	4827	752.7712908
1134	4810	
1175	5522	734.370219
1198	5467	
1155	5222	719.2462666
1171	8094	759.058182
1172	7717	
1178	7582	
1145	5836	734.1484163
1155	5624	
1149	6042	745.9177835
1153	5595	
1156	5506	
1160	5225	
1194	5459	752.811919
1199	5426	
1135	4186	743.9552903
1145	3975	
1163	4601	768.4640796
1164	4301	
1175	4231	
1100	5766	748.2022085
1108	5300	
1139	6517	759.7743959
1155	6361	
1176	6221	
1146	3885	750.4714031
1135	6578	757.6729989
1147	6575	

DKG-PPO		
Makespan	Tardiness	time
1166	20	6.335
1166	20	
1166	20	
1166	20	
1166	20	
1166	20	
1166	20	
1166	20	
1166	20	
1166	20	
1166	20	
1166	20	
1166	20	
1166	20	
1166	20	
1166	20	
1166	20	
1166	20	
1166	20	
1166	20	
