DRLU		
Makespan	Tardiness	time
1329	14.71111111	0.779
1242	19.55555556	
1292	13.88888889	
1254	22.28888889	
1293	19.13333333	
1341	25.02222222	
1383	24.33333333	
1267	22.71111111	
1387	32.4	
1385	13.75555556	
1332	22.51111111	
1376	13.04444444	
1315	17.97777778	
1231	27.75555556	
1268	15.86666667	
1305	27.57777778	
1298	24.77777778	
1234	26.53333333	
1210	14.97777778	
1259	30.82222222	

DRLP		
Makespan	Tardiness	time
1257	187.3111111	0.795
1291	207.8666667	
1223	205.7555556	
1242	193.8444444	
1233	196.2888889	
1236	224.3777778	
1369	215.3333333	
1318	197.7777778	
1224	205.6888889	
1331	199.0444444	
1289	189.3777778	
1283	202.0222222	
1209	202.5111111	
1309	220.8444444	
1293	206.3777778	
1186	208.6444444	
1222	198.3111111	
1246	201.8222222	
1260	205.5333333	
1266	196.5111111	

THDQN		
Makespan	Tardiness	time
1843	394.9555556	0.839
1830	359.3555556	
1711	372.2	
1717	387.8	
1785	395.5555556	
1779	402.0222222	
1705	388.7111111	
1684	389.4222222	
1923	433.7111111	
1667	372.2666667	
1709	375.7333333	
1731	379.8222222	
1804	388.9777778	
1833	400.8	
1758	383.0444444	
1760	381.0888889	
1792	407.7555556	
1771	364.5111111	
1671	369.8222222	
1771	419.7555556	

DMDDQN		
Makespan	Tardiness	time
1410	530.7333333	0.838
1504	641.8666667	
1631	687.2888889	
1461	565.6	
1298	436.7333333	
1322	505.0666667	
1334	514	
1379	580.7333333	
1311	436.2444444	
1274	424.2666667	
1410	564.4222222	
1400	560.5333333	
1393	563.6444444	
1467	609.7555556	
1210	413.9777778	
1318	453.4444444	
1293	448.1555556	
1434	557.0444444	
1334	448.2444444	
1310	488.4222222	

DDQN		
Makespan	Tardiness	time
1561	553.6	0.861
1569	589.5111111	
1572	547.0222222	
1627	604.2444444	
1639	562.1555556	
1552	499.3777778	
1669	562.5555556	
1568	539.1111111	
1527	501.9777778	
1587	625.3555556	
1549	583.7111111	
1620	624.2444444	
1658	632.9333333	
1549	603.9333333	
1580	530.1333333	
1623	616.3555556	
1504	509.4666667	
1557	569.0222222	
1566	552.8	
1583	562.4444444	

NSGA-II
Makespan	Tardiness 	times
1097	2707	660.432183
1090	2890	590.9796011
1092	2820	
1137	2806	
1142	2746	
1090	1882	593.3048496
1139	1357	597.4507909
1149	1211	
1088	1786	606.3090918
1091	2579	584.1624892
1080	1435	607.8756237
1100	3727	598.3310876
1113	2824	
1115	2700	
1121	2927	603.5033944
1098	2077	613.3203115
1099	1680	
1133	1461	
1091	2968	611.1784098
1093	2414	
1103	2267	
1105	2036	
1081	2380	602.7209694
1082	2142	
1082	2043	606.5632377
1099	1357	603.3521268
1076	2484	615.6728978
1080	2016	611.3729417
1082	1877	
1098	2982	612.8385859
1076	2753	609.5012779
1103	2026	605.5768731
1115	1850	
1088	1786	606.3090918


DKG-PPO		
Makespan	Tardiness	time
1134	0	6.431
1134	0	
1134	0	
1134	0	
1134	0	
1134	0	
1134	0	
1134	0	
1134	0	
1134	0	
1134	0	
1134	0	
1134	0	
1134	0	
1134	0	
1134	0	
1134	0	
1134	0	
1134	0	
1134	0	
