DRLU		
Makespan	Tardiness	time
580	0	0.708
573	0	
577	0.32	
536	0.56	
583	0	
636	0	
586	0.32	
644	0	
631	0	
669	0.4	
589	0	
624	1.52	
576	0.72	
649	0	
607	0	
597	0	
628	0.04	
691	0	
549	0	
570	0	

DRLP		
Makespan	Tardiness	time
656	75	0.746
546	72.8	
579	81.72	
717	73.56	
622	73.68	
603	75.8	
627	86.24	
613	79.44	
610	75.8	
704	74.16	
677	73.44	
663	70.32	
576	80.64	
600	82.32	
674	77.68	
619	81.2	
628	76.16	
568	78.24	
584	75.48	
609	72.12	

THDQN		
Makespan	Tardiness	time
1167	187.92	0.828
1297	220.44	
1181	210	
1131	211.08	
1265	196	
1230	192.8	
1103	169.96	
1198	163.28	
1261	209.72	
1155	197.76	
1077	164.4	
1182	201.44	
1213	186.32	
1213	179.72	
1305	222.52	
1240	212.4	
1169	181.24	
1229	207.56	
1193	189.08	
1224	194.08	

DMDDQN		
Makespan	Tardiness	time
845	208.56	0.839
948	304.12	
916	269.36	
859	218.52	
963	315.36	
931	274.24	
1038	342.56	
1036	360.84	
950	291.32	
1021	305	
909	237.68	
919	255.12	
815	188.56	
878	241.96	
1024	362.32	
923	274.8	
871	250.64	
840	211.8	
929	299.44	
940	283.64	

DDQN		
Makespan	Tardiness	time
680	23.44	0.679
610	18.48	
692	11.16	
773	74.76	
770	77.12	
738	41.92	
729	59.64	
678	25.68	
693	47.84	
614	26.84	
706	34.8	
771	78.2	
678	39.28	
702	47.6	
656	33.24	
752	55.32	
716	43.64	
697	41.6	
634	20.04	
660	34.16
	
NSGA-II
Makespan	Tardiness 	times
536	215	202.1429358
539	211	
553	103	
559	93	
564	53	
569	19	
572	7	
502	94	208.7637839
509	44	
511	5	
519	2	
520	0	
513	366	203.5339515
515	186	
522	129	
526	90	
528	29	
535	15	
544	10	
555	0	
500	218	203.4571881
503	33	
510	13	
516	0	
552	113	201.5941174
585	76	
589	66	
594	57	
618	31	
633	26	
642	15	
649	12	
587	302	203.7654641
589	296	
591	281	
596	101	
598	40	
615	35	
619	3	
629	0	
502	100	203.4314954
509	50	
514	20	
517	8	
473	280	206.9089797
487	269	
488	225	
490	199	
493	85	
498	58	
501	21	
503	16	
504	7	
513	2	
514	0	
490	217	204.6539354
494	166	
495	150	
497	90	
503	83	
505	51	
511	48	
513	19	
517	4	
527	0	
508	17	209.3147917
542	2	
544	0	
498	156	203.7995956
499	98	
506	92	
508	32	
511	28	
516	20	
527	15	
528	10	
532	0	
491	83	206.389724
501	19	
520	0	
500	258	204.1453893
511	153	
512	30	
518	4	
519	0	
506	102	198.0140641
511	31	
512	0	
434	0	305.0828223
512	68	241.3416576
524	55	
534	36	
545	25	
552	24	
556	11	
563	10	
571	6	
591	3	
632	0	
518	0	212.8075476
501	25	199.974252
525	0	
490	181	204.2908642
495	112	
498	42	
501	0	
499	203	196.1731398
500	71	
522	22	
535	0	

DKG-PPO		
Makespan	Tardiness	 time
372	0	3.516
372	0	
372	0	
372	0	
372	0	
372	0	
372	0	
372	0	
372	0	
372	0	
372	0	
372	0	
372	0	
372	0	
372	0	
372	0	
372	0	
372	0	
372	0	
372	0	

